id	itle edirect
15099	Ido (language)	Ido language
15101	Isotactic	Tacticity
15103	Wikipedia:Intlwiki-L	Wikipedia:Mailing lists
15104	Irresistible Force (production identity)	Mixmaster Morris
15117	IgNobel Prize	Ig Nobel Prize
15118	Imbolg	Imbolc
15127	Internet humor	Humor on the internet
15135	Internet humor/Long lightbulb jokes	Lightbulb joke
15139	Honor system virus	Virus hoax
15148	List of Presidents of the International Olympic Committee	President of the International Olympic Committee
15149	The Inklings	Inklings
15151	I-Link	IEEE 1394
15152	Impedance match	Impedance matching
15153	Individual cases of anthrax	2001 anthrax attacks
15157	ICD-CM	International Statistical Classification of Diseases and Related Health Problems
15162	Intel Pentium	Pentium
15163	Internet humour	Humor on the internet
15173	Islamic	Islam
15177	International Convention for the Prevention of Pollution from Ships	MARPOL 73/78
15178	International environmental law	Environmental law
15196	Infra-red radiation	Infrared
15197	Infra-red	Infrared
15202	Immediate subordinate	Hierarchy
15203	Immediate superior	Hierarchy
15217	Ideolect	Idiolect
15219	Insterburg	Chernyakhovsk
15244	In Vitro Fertilization	In vitro fertilisation
15247	Improvisational theater	Improvisational theatre
15255	Intellectual Property law	Intellectual property
15257	Scilly Isles	Isles of Scilly
15263	Intel 80486DX	Intel 80486
15273	ICTY	International Criminal Tribunal for the former Yugoslavia
15293	Balochistan (Iran)	Sistan and Baluchestan Province
15301	I think, therefore I am	Cogito ergo sum
15306	Integrated Drive Electronics	Parallel ATA
15307	Injection system	Fuel injection
15311	Intelligent Design Theory	Intelligent design
15315	Interfaith organizations	List of interreligious organizations
15320	Inka	Inca (disambiguation)
15322	Incans	Inca Empire
15327	I think therefore I am	Cogito ergo sum
15337	ILink	IEEE 1394
15339	IT	Information technology
15344	Indus civilization	Indus Valley Civilisation
15348	Intelligent	Intelligence
15349	Intelligence Test	Intelligence quotient
15350	Intelligence testing	Intelligence quotient
15351	IQ test	Intelligence quotient
15359	Irish Gaelic	Irish language
15363	Iron age	Iron Age
15370	International Business Machines Corporation	IBM
15371	Interpreted Language	Interpreted language
15376	Islas Malvinas	Falkland Islands
15377	Isotopic Tracer	Isotopic labeling
15380	INADS	NATO Integrated Air Defense System
15383	Isotopic tracer	Isotopic labeling
15391	Irish Mythology	Irish mythology
15394	Interpreter	Language interpretation
15397	IBAN	International Bank Account Number
15399	Irrealism in music	Irrealism (the arts)
15404	Intrauterine Device	Intrauterine device
15405	Indo-Germanic	Indo-European languages
15411	Iranaeus	Irenaeus
15418	Interatomic force	Intermolecular force
15423	Irgun gang	Irgun
15424	Industrial property organizations	Intellectual property organization
15432	ISO 6166	International Securities Identification Number
15433	Interlingue	Occidental language
15453	Intersexualism	Intersex
15456	Indo-Germanic languages	Indo-European languages
15457	Indo-germanic languages	Indo-European languages
15458	Indo-germanic	Indo-European languages
15461	ICD-9	International Statistical Classification of Diseases and Related Health Problems
15464	Indus river	Indus River
15473	Fraser Kilmister	Lemmy
15499	IPCC Policymakers Summary	Intergovernmental Panel on Climate Change
15503	Incubus film	Incubus (disambiguation)
15509	Instruction set architectures	Instruction set architecture
15520	ICPO-Interpol	Interpol
15522	I.Q.	Intelligence quotient
15528	International phonetic alphabet	International Phonetic Alphabet
15530	Islamic Calendar	Islamic calendar
15544	JohnnyCash	Johnny Cash
15546	JohannSebastianBach	Johann Sebastian Bach
15548	JohnAbbott	John Abbott
15549	JulianSimon	Julián Simón
15554	JapaN	Japan
15555	JapanConstitution	Constitution of Japan
15556	JapanConstitution/PreFace	Constitution of Japan
15557	JapanConstitution/ChapterOne	Constitution of Japan
15558	JapanConstitution/ChapterTwo	Constitution of Japan
15559	JapanConstitution/ChapterThree	Constitution of Japan
15560	JapanConstitution/ChapterFour	Constitution of Japan
15561	JapanConstitution/ChapterFive	Constitution of Japan
15562	JapanConstitution/ChapterSix	Constitution of Japan
15563	JapanConstitution/ChapterSeven	Constitution of Japan
15564	JapanConstitution/ChapterEight	Constitution of Japan
15565	JapanConstitution/ChapterNine	Constitution of Japan
15566	JapanConstitution/ChapterTen	Constitution of Japan
15567	JapanConstitution/ChapterEleven	Constitution of Japan
15568	JudO	Judo
15572	JapaneseAnime	Anime
15585	Japanese expansionism	Japanese militarism
15589	JRR Tolkien	J. R. R. Tolkien
15594	JesusChrist	Jesus
15603	JapaneseLanguage	Japanese language
15636	John Adams Inaugural Speech	Inauguration of John Adams
15643	JohnnyUnitas	Johnny Unitas
15668	Military of Jamaica	Jamaica Defence Force
15674	Jan Mayen/History	Jan Mayen
15675	Jan Mayen/Geography	Jan Mayen
15676	Jan Mayen/People	Jan Mayen
15677	Jan Mayen/Government	Jan Mayen
15678	Jan Mayen/Economy	Jan Mayen
15679	Jan Mayen/Communications	Jan Mayen
15680	Jan Mayen/Transportation	Jan Mayen
15681	Jan Mayen/Military	Jan Mayen
15684	Jarvis Island/History	Jarvis Island
15685	Geography of Jarvis Island	Jarvis Island
15686	Jarvis Island/People	Jarvis Island
15687	Politics of Jarvis Island	Jarvis Island
15688	Jarvis Island/Economy	Jarvis Island
15689	Jarvis Island/Communications	Jarvis Island
15690	Transportation on Jarvis Island	Jarvis Island
15691	Jarvis Island/Military	Jarvis Island
15701	Jersey/Military	Jersey
15705	Johnston Atoll/History	Johnston Atoll
15706	Geography of Johnston Atoll	Johnston Atoll
15708	Politics of Johnston Atoll	Johnston Atoll
15709	Economy of Johnston Atoll	Johnston Atoll
15710	Communications on Johnston Atoll	Johnston Atoll
15711	Johnston Atoll/Transportation	Johnston Atoll
15712	Military of Johnston Atoll	Johnston Atoll
15715	Jordan/History	History of Jordan
15727	Juan de Nova Island/People	Scattered Islands in the Indian Ocean
15729	Juan de Nova Island/Economy	Scattered Islands in the Indian Ocean
15730	Juan de Nova Island/Communications	Scattered Islands in the Indian Ocean
15731	Juan de Nova Island/Transportation	Scattered Islands in the Indian Ocean
15732	Juan de Nova Island/Military	Scattered Islands in the Indian Ocean
15733	Juan de Nova Island/Transnational issues	Scattered Islands in the Indian Ocean
15734	Jersiaise	Jèrriais
15748	JRR Tolkien/The Lord of the Rings	The Lord of the Rings
15753	JRR Tolkien/Frodo Baggins	Frodo Baggins
15754	JRR Tolkien/Hobbits	Hobbit
15755	JRR Tolkien/The Hobbit	The Hobbit
15758	JRR Tolkien/Rings of Power	Rings of Power
15764	JRR Tolkien/Quenya	Quenya
15765	Judicial power	Judiciary
15835	Julian Calendar	Julian calendar
15840	John Paul II	Pope John Paul II
15860	Jossif Vissarionovich Dhzugazvili	Joseph Stalin
15884	Jewish Scriptures	Tanakh
15897	Jargon file	Jargon File
15901	Jazz Dance	Jazz dance
15909	Johann Sebastian Bach/Biography	Johann Sebastian Bach
15926	Jvm	Java virtual machine
15932	Jagiellonian University in Kraków	Jagiellonian University
15946	J. Frederick George	George Jewsbury
15957	Jeanne of Arc	Joan of Arc
15958	Transcribing JHVH	Tetragrammaton
15969	Jean Louis Rodolphe Agassiz	Louis Agassiz
16004	John de Feckenham	John Feckenham
16006	Johann Wolfgang Von Goethe	Johann Wolfgang von Goethe
16012	John Paul Stapp	John Stapp
16019	Japan Constitution	Constitution of Japan
16026	J K Rowling	J. K. Rowling
16042	Jerusalem Post	The Jerusalem Post
16055	J.S. Bach	Johann Sebastian Bach
16072	Johann Cruyff	Johan Cruyff
16085	Jeepster records	Jeepster Records
16096	Japanese food	Japanese cuisine
16102	Jutland Penninsula	Jutland
16104	James Monroe/First Inaugural Address	Presidency of James Monroe
16105	James Monroe/Second Inaugural Address	Presidency of James Monroe
16106	John Quincy Adams/First Inaugural Address	John Quincy Adams
16107	Jazz-rock fusion	Jazz fusion
16109	Javascript	JavaScript
16114	Jutland Peninsula	Jutland
16133	John Brunner/The Shockwave Rider	The Shockwave Rider
16137	Timeline of Jefferson Davis	Jefferson Davis
16146	John III Vasa	John III of Sweden
16149	John Engler/Nicknames	John Engler
16150	Jaques Lacan	Jacques Lacan
16152	Judaeo-Spanish language	Judaeo-Spanish
16176	Jorge Borges	Jorge Luis Borges
16177	James Tiptree Junior Award	James Tiptree Jr. Award
16178	Jesse Jackson, Sr.	Jesse Jackson
16185	JHK	Photometric system
16204	Gottlieb Fichte	Johann Gottlieb Fichte
16212	Joseph Hergenroether	Joseph Hergenröther
16222	Jomsburg	Jomsborg
16237	Jessica Marie Alba	Jessica Alba
16246	Jean Baptiste Bernadotte	Charles XIV John of Sweden
16248	Johannes van Melle	John van Melle
16264	JPL	Jet Propulsion Laboratory
16276	John George Diefenbaker	John Diefenbaker
16282	Jean Lamarck	Jean-Baptiste Lamarck
16299	Johann Sigmund	John Sigismund
16309	Jianghu	Wuxia
16314	Ronald William Kirby	Josh Kirby
16318	Jan Bruegel	Jan Brueghel the Younger
16351	Jules Verne/Around the World in 80 Days	Around the World in Eighty Days
16408	Jehova	Jehovah
16411	James Tiptree Jr	James Tiptree Jr.
16416	Junkscience	Junk science
16418	Jewish	Jews
16420	John the Forerunner	John the Baptist
16434	Jalal ad-Din Rumi	Rumi
16435	James Norris Trophy	James Norris Memorial Trophy
16448	Jerome Jerome	Jerome K. Jerome
16454	Java API	List of Java APIs
16473	JINTACCS	Joint Interoperability of Tactical Command and Control Systems
16477	Japhet	Japheth
16490	Juan Miro	Juan Miró
16503	Jake McDuck	Clan McDuck
16508	JTF-CNO	Joint Task Force-Global Network Operations
16523	John of the Ladder	John Climacus
16527	Java coffee	Coffee production in Indonesia
16532	Flow through nozzles	De Laval nozzle
16539	J.R.R. Tolkein	J. R. R. Tolkien
16540	J. R. R. Tolkein	J. R. R. Tolkien
16552	Jean Gray	Jean Grey
16593	KingdomOfDenmark	Denmark
16595	KingdomProtista	Protist
16596	KurtCobain	Kurt Cobain
16597	KingdomAnimalia	Animal
16598	KuleshovExperiment	Kuleshov effect
16599	KnowLedge	Knowledge
16600	KickBoxing	Kickboxing
16601	KingCrimson	King Crimson
16602	Kuleshov experiment	Kuleshov effect
16604	Keanu Reeves/Filmography	Keanu Reeves
16606	Köpenhamn	Copenhagen
16607	København	Copenhagen
16613	Kahului	Kahului, Hawaii
16617	Killfile	Kill file
16624	Kamakazi	Kamakazi (BMX rider)
16637	Khazaria	Khazars
16640	Karl XV	Charles XV of Sweden
16662	Korea, North	North Korea
16663	Korea, South	South Korea
16665	History of Kingman Reef	Kingman Reef
16682	Military of Kiribati	Kiribati
16706	Kokturks	Göktürks
16713	Kattegatt	Kattegat
16719	Kolmogorov Smirnoff Test	Kolmogorov–Smirnov test
16734	Kurt Goedel	Kurt Gödel
16737	Keynsian	Keynesian economics
16742	Kirchhoff's current law	Kirchhoff's circuit laws
16747	KaratE	Karate
16758	Kaiser Willhelm	Kaiser Wilhelm
16761	Keynesian	Keynesian economics
16770	Kyoto protocol	Kyoto Protocol
16778	Klu Klux Klan	Ku Klux Klan
16784	Keplers laws	Kepler's laws of planetary motion
16798	Kuiper Belt	Kuiper belt
16817	Kepler-poinsot solid	Kepler–Poinsot polyhedron
16819	K-12 School	K–12
16837	Khalid Almihdhar	Khalid al-Mihdhar
16870	KKK	Ku Klux Klan
16874	Kerensky	Alexander Kerensky
16884	King Alfred	Alfred the Great
16888	Karl IX	Charles IX of Sweden
16891	KJV	King James Version
16895	Kolberg	Kołobrzeg
16901	Kareem AbdulJabbar	Kareem Abdul-Jabbar
16907	Kaang	San religion
16923	Kernow	Cornwall
16924	K56flex	Modem
16925	K56Plus	Modem
16927	Kereem Abdul Jabar	Kareem Abdul-Jabbar
16929	Kung Fu-tzu	Confucius
16940	Knights Templars	Knights Templar
16946	Kellogg-Briand	Kellogg–Briand Pact
16955	Kickapoos	Kickapoo people
16962	Kidney Stone	Kidney stone disease
16963	Kidneys, ureters, and bladder x-ray	Abdominal x-ray
16964	King Richard III	Richard III of England
16967	Kaolin	Kaolinite
16969	Kara-Su	Karasu (disambiguation)
16970	King Henry IV part II	Henry IV, Part 2
16977	Kern County	Kern County, California
16979	Kunzite	Spodumene
16996	Krebs cycle	Citric acid cycle
16997	Kaiser Wilhelm Geschütz	Paris Gun
16998	Kampuchea	Cambodia
17000	Kohl-rabi	Kohlrabi
17002	Katharometer	Thermal conductivity detector
17008	Kierkegaard	Søren Kierkegaard
17017	Kassubians	Kashubians
17019	Kashub	Kashubians
17024	Kemo-Gribingui	Kémo
17030	Keyhole Surgery	Laparoscopy
17036	Kimberley Classic	Pale lager
17039	Kymoxin	Amoxicillin
17040	Kamoxin	Amoxicillin
17041	Kan-u-Uayeyab	Maya mythology
17048	Kentucky Bluegrass	Poa pratensis
17050	Kengji Sahara	Kenji Sahara
17061	Kurosawa Akira	Akira Kurosawa
17074	Kanchenjuna	Kangchenjunga
17085	Kissing Bug	Triatominae
17088	Konstantin Eduardovitch Tsiolkovsky	Konstantin Tsiolkovsky
17089	Kangaroo code	Spaghetti code
17097	Kenotron	Rectifier
17099	Kim-1	KIM-1
17110	Keyboard plaque	Computer keyboard
17111	Keyboard send receive	Teletype Corporation
17113	Keyed sequential data set	Key Sequenced Data Set
17115	Key field	Unique key
17117	Kurfuersten	Prince-elector
17118	Kurfuersten/Electors	Prince-elector
17124	Katharine of Aragon	Catherine of Aragon
17127	Koresponda Servo	Esperanto
17128	Koenigsberg	Königsberg
17132	Kiswahili versus Swahili	Swahili language
17136	Keypal	Pen pal
17141	Kgbvax	Kremvax
17142	Kh	KH
17144	KIBO	Kibo
17145	Kiboze	James Parry
17167	Katmandu	Kathmandu
17173	KIS	Kis
17184	Kleene closure	Kleene star
17185	Kleene, Stephen Cole	Stephen Cole Kleene
17187	Klone	Clone
17189	Kip Keino	Kipchoge Keino
17194	Knute Kenneth Rockne	Knute Rockne
17201	Kekule von Stradonitz	August Kekulé
17203	Kluge around	Kluge
17207	Knowledge management system	Knowledge management
17215	KQML	Knowledge Query and Manipulation Language
17218	Kohl Rabi	Kohlrabi
17221	Katherine Hepburn	Katharine Hepburn
17222	Kilts	Kilt
17223	K and R	The C Programming Language
17225	K and R C	C (programming language)
17234	KTH	Royal Institute of Technology
17237	Kungliga Tekniska Hogskolan	Royal Institute of Technology
17239	Kvatro Telecom	Mary (programming language)
17243	KaZaA	Kazaa
17247	Keeling Islands	Cocos (Keeling) Islands
17258	Kite history	Kite
17261	Kaspar Schwenkfeld	Caspar Schwenckfeld
17263	Kitt Peak National	Kitt Peak National Observatory
17266	Know-Nothings	Know Nothing
17271	Konstantin Ustinovich Chernenko	Konstantin Chernenko
17277	Krakatau	Krakatoa
17279	Konrad von Gesner	Conrad Gessner
17280	Konrad Gesner	Conrad Gessner
17281	Konrad Zacharias Lorenz	Konrad Lorenz
17283	Kathleen Dee-Anne Norris	Koo Stark
17288	Kittyhawk I	Curtiss P-40 Warhawk
17290	Kliment Yefremovich Voroshilov	Kliment Voroshilov
17298	Khunerjab Pass	Khunjerab Pass
17305	Karl Ernst Baer	Karl Ernst von Baer
17309	Königsberg University	University of Königsberg
17316	Klaus Emil Fuchs	Klaus Fuchs
17321	Kasimir Malevich	Kazimir Malevich
17323	Kidney Ore	Hematite
17329	Ketalar	Ketamine
17340	Ken sword	Tsurugi (sword)
17347	Kurchatovium	Rutherfordium
17349	Kuria Muria Islands	Khuriya Muriya Islands
17356	Kipling	Rudyard Kipling
17358	KA	Ka
17365	Kosovo conflict	Kosovo War
17368	Konrad Bloch	Konrad Emil Bloch
17376	Kary B Mullis	Kary Mullis
17377	Kary B. Mullis	Kary Mullis
17402	Konoye Fumimaro	Fumimaro Konoe
17403	Knock-Out Whist	Knock-out Whist
17416	Knight Sabers	List of Bubblegum Crisis characters
17425	King Omri	Omri
17426	King Zimri	Zimri (king)
17433	Kulaks	Kulak
17436	Kevin ONeill	Kevin O'Neill
17437	Karine A	Karine A affair
17438	Katyusha rockets	Katyusha rocket launcher
17444	Koizumi Yakumo	Lafcadio Hearn
17447	KC-130	Lockheed Martin KC-130
17460	Kiloton	TNT equivalent
17464	List of Kings of Rome	Roman Kingdom
17478	LatticE	Lattice
17482	Ludovic Lazarus Zamenhof	L. L. Zamenhof
17483	LojbanLanguage	Lojban
17485	LiteraryArt	Literature
17487	LindyHop	Lindy Hop
17489	LetterATopics/Aaron	Aaron
17490	LiliaPodkopayeva	Lilia Podkopayeva
17491	LasVegas	Las Vegas
17493	LiteraTure	Literature
17495	LinguisticS	Linguistics
17496	LeonhardEuler	Leonhard Euler
17498	LuxemburG	Luxembourg
17500	LibertarianCommunism	Libertarian socialism
17501	LangueFrancaise	French language
17508	LatviA	Latvia
17517	LinearAlgebra	Linear algebra
17520	LawsOfKepler	Kepler's laws of planetary motion
17522	Literary Art	Literature
17523	Larrys Text/Epistemology	Epistemology
17525	LiberaL	Liberal
17527	Laissez-faire capitalism	Laissez-faire
17529	Lower 48	Contiguous United States
17552	Logical fallacy	Formal fallacy
17558	Letter games	Letter game
17559	Library of Congress catalogue scheme	Library of Congress Classification
17566	Lexical definition of definition	Definition
17567	Longword	Integer (computer science)
17571	Linear equations	Linear equation
17576	LALR	LALR parser
17613	Lewis and Clark	Lewis and Clark Expedition
17614	Louis and Clark Expedition	Lewis and Clark Expedition
17625	Lahaina	Lahaina, Hawaii
17656	Language translation	Translation
17660	Linear Algebra/Subspace	Linear subspace
17661	Linear Algebra/Linear Combination	Linear combination
17662	Linear Algebra/Generating a Vector Space	Linear span
17663	Linear Algebra/Linearly Independent Vectors	Linear independence
17664	Linear Algebra/Basis for a Vector Space	Basis (linear algebra)
17668	Linear Algebra/Inner Product Space	Inner product space
17669	Linear Algebra/Banach Spaces	Banach space
17670	Linear Algebra/Hilbert Spaces	Hilbert space
17671	Litigant	Lawsuit
17672	Law/Tax	Tax law
17678	Logical fallacy/Ad Hominem	Ad hominem
17679	Logical fallacy/Straw Man	Straw man
17680	Logical fallacy/Appeal to Authority	Argument from authority
17681	Bandwagon fallacy	Argumentum ad populum
17683	Logical fallacy/Ad hominem	Ad hominem
17686	Appeal to popularity	Argumentum ad populum
17705	Little Dipper	Ursa Minor
17706	LowGerman	Low German
17707	Laws of physics	Physical law
17708	Law of physics	Physical law
17713	Linkoeping	Linköping
17729	Language and dialect	Language
17735	Liège (disambiguation)	Liege (disambiguation)
17737	Legislative power	Legislature
17742	Luxemburg	Luxembourg
17749	Lubeck	Lübeck
17751	Loveparade	Love Parade
17817	Transportation in Liechtenstein	Liechtenstein
17818	Military of Liechtenstein	Liechtenstein
17842	Lulea University of Technology	Luleå University of Technology
17847	Lesbigay	LGBT
17876	Library of Congress catalog scheme	Library of Congress Classification
17879	List of Latin proverbs	List of Latin phrases
17881	La lojban.	Lojban
17884	List of Latin language poets	Latin literature
17894	Leftist	Left-wing politics
17899	Lodovico Ariosto	Ludovico Ariosto
17910	Lord of the Rings	The Lord of the Rings
17912	Literary quotations	Quotation
17925	Lamarck	Jean-Baptiste Lamarck
17934	Law of the excluded middle	Law of excluded middle
17936	Loaded dice	Dice
17942	Lie Algebra	Lie algebra
17943	LieGroup	Lie group
17952	Liter	Litre
17959	Lowest common multiple	Least common multiple
17960	Loch ness monster	Loch Ness Monster
17969	Louis the pious	Louis the Pious
17991	Lucasfilm Games	LucasArts
17993	Latveria/History	Latveria
18021	Long Distance Paths	Long-distance trail
18027	Leone Battista Alrerti	Leon Battista Alberti
18032	Landau symbol	Big O notation
18037	Leone Allacci	Leo Allatius
18042	Lex solis	Jus soli
18045	Latin Literature	Latin literature
18054	Lodur	Lóðurr
18055	Latona	Leto
18059	Linguistic	Linguistics
18066	Lutherans	Lutheranism
18072	Law of the Sea	Law of the sea
18075	Lutheran	Lutheranism
18086	League of Augsburg	Grand Alliance (League of Augsburg)
18105	Large-scale structure of the Cosmos	Observable universe
18107	Lords Supper	Eucharist
18114	Laura Welch Bush	Laura Bush
18116	Linkoping	Linköping
18117	Lagrangian Point	Lagrangian point
18124	Les Fauvres	Fauvism
18140	League of Arab States	Arab League
18147	Lorenz attractor	Lorenz system
18149	Liber AL vel Legis	The Book of the Law
18150	Late Helladic	Helladic period
18160	Lexical Analysis	Lexical analysis
18165	Logic Gate	Logic gate
18169	LotR	The Lord of the Rings
18174	List of Greek islands	List of islands of Greece
18176	Library Science	Library science
18180	Lugnasadh	Lughnasadh
18186	List of Hindus	Lists of Hindus
18192	Linear operator	Linear map
18199	Levels of orthodoxy in Judaism	Orthodox Judaism
18204	Lacan	Jacques Lacan
18206	Lojban language	Lojban
18207	Loglan language	Loglan
18211	Lugier	Lugii
18215	Langobardi	Lombards
18216	Langobards	Lombards
18228	Leaf node	Tree (data structure)
18229	LXX	Septuagint
18235	Lithium salts	Lithium (medication)
18242	List of films preserved in the United States National Film Registry	National Film Registry
18275	Lyndon Baines Johnson	Lyndon B. Johnson
18276	Lex sanguinis	Jus sanguinis
18281	Lev Tolstoy	Leo Tolstoy
18284	Langrangian point	Lagrangian point
18289	Legislative branch	Legislature
18293	Lovecraft	H. P. Lovecraft
18296	Loding	Fenrir
18299	L enantiomer	Enantiomer
18301	Lester Bowles Pearson	Lester B. Pearson
18305	Loaded words	Loaded language
18312	Lycopersicum lycopersicum	Tomato
18316	Lower Pennisula of Michigan	Lower Peninsula of Michigan
18344	Law of constant composition	Law of definite proportions
18349	Laws of Motion	Newton's laws of motion
18359	Louis Saint Laurent	Louis St. Laurent
18368	Lev Sergeivitch Termen	Léon Theremin
18370	Lycanthropy	Werewolf
18375	Locksmithing	Lock (security device)
18378	Loony	Lunatic
18392	Lyman Frank Baum	L. Frank Baum
18395	Lou Gehrigs disease	Amyotrophic lateral sclerosis
18396	Ludolf Bakhuysen	Ludolf Bakhuizen
18397	Les Guignols de Linfo	Les Guignols
18405	Lorentz invariance	Lorentz covariance
18411	Linux-Mandrake	Mandriva Linux
18413	Lesbianism	Lesbian
18416	Linear algebra/Subspace	Linear subspace
18418	Generating a vector space	Linear span
18419	Linear algebra/Linearly independent vectors	Linear independence
18421	Linear algebra/Dimension of a vector space	Dimension (vector space)
18428	Lebesgue-integrable	Lebesgue integration
18429	List of obsolete country codes	ISO 3166-3
18437	Linnaeus	Carl Linnaeus
18441	Law of gravitation	Newton's law of universal gravitation
18445	Leopold Samuel Marks	Leo Marks
18480	Laparoscopic surgery	Laparoscopy
18481	LaissezFaire	Laissez-faire
18482	Luddites	Luddite
18485	LA style Lindy Hop	Hollywood-style Lindy Hop
18500	Left wing	Left-wing politics
18501	Left-wing	Left-wing politics
18502	Leftists	Left-wing politics
18511	Linux operating system	Linux
18514	Louis I the Great of Hungary	Louis I of Hungary
18523	Latin American	Latin America
18525	Latin-America	Latin America
18526	Latin-American	Latin America
18528	Lucifer Calaritanus	Lucifer of Cagliari
18559	La Banda Sinaloense	Banda el Recodo
18575	Li Po	Li Bai
18579	Laeken European Council	List of European Council meetings
18587	Linguistically	Linguistics
18598	Litha	Midsummer
18605	Liver opal	Menilite
18607	LTTE	Liberation Tigers of Tamil Eelam
18620	Legal property	Property
18621	Louvre Museum	Louvre
18632	Libertarians	Libertarianism
18638	Lillith	Lilith
18647	Library of Nag Hammadi	Nag Hammadi library
18651	Law of treaties	Vienna Convention on the Law of Treaties
18655	Linear dynamic system	Linear dynamical system
18658	Stern gang	Lehi (militant group)
18660	Labour union	Trade union
18667	Lexicographer	List of lexicographers
18672	LTCM	Long-Term Capital Management
18682	Leonardo de Vinci	Leonardo da Vinci
18688	Leninist	Leninism
18690	Legion of Merit Medal	Legion of Merit
18699	Labiovelars	Labiovelar consonant
18700	Linear congruence theorem	Chinese remainder theorem
18703	Lothar Meyer	Julius Lothar Meyer
18704	Lyosome	Lysosome
18714	The Lord of The Flies	Lord of the Flies
18721	Lars Valerian Ahlfors	Lars Ahlfors
18732	Lewis and Clark expedition	Lewis and Clark Expedition
18734	LDS church	The Church of Jesus Christ of Latter-day Saints
18740	MathematicsAndStatistics	Mathematics
18741	MetaPhilosophy	Metaphilosophy
18743	MuSic	Music
18745	MathematicalGrouP	Group (mathematics)
18746	MichigaN	Michigan
18748	MusicalTheory	Music theory
18749	MathOfTheWesternMusicalScale	Music and mathematics
18750	ModularArithmetic	Modular arithmetic
18752	MarylanD	Maryland
18753	MathematicalRelation	Binary relation
18755	Metallica/Discography	Metallica discography
18757	Kill Em All	Kill 'Em All
18765	MiddleAges	Middle Ages
18768	ManiFold	Manifold
18770	MappinG	Mapping
18771	MonoTheism	Monotheism
18772	MicroeconomicS	Microeconomics
18773	MacroeconomicS	Macroeconomics
18774	MiseEnScene	Mise-en-scène
18776	MetaPhysics	Metaphysics
18779	MetaEthics	Meta-ethics
18780	MentalEvent	Mental event
18782	MonIsm	Monism
18783	MartialArts	Martial arts
18784	MetaEthics/NonCognitivism	Non-cognitivism
18786	MetaEthics/NonNaturalism	Ethical non-naturalism
18788	Math	Mathematics
18790	MozarT	Wolfgang Amadeus Mozart
18791	MartinaHingis	Martina Hingis
18805	MammaLia	Mammal
18807	MobyDick	Moby-Dick
18808	MusicalFilm	Musical theatre
18809	MusicalInstruments	Musical instrument
18810	MetaphoR	Metaphor
18812	MorphisM	Morphism
18813	MeaN	Mean
18814	MediaN	Median
18818	MetaWiki	History of wikis
18821	Musical Film	Musical film
18822	Mise en Scene	Mise-en-scène
18827	Meta-Philosophy	Metaphilosophy
18832	Wikipedia:Classifications of mathematics topics	Areas of mathematics
18841	Mitochondria	Mitochondrion
18846	Matrix Algebra	Matrix ring
18854	MST3K	Mystery Science Theater 3000
18860	MathematicalGroup	Group (mathematics)
18863	Mathematical Group	Group (mathematics)
18867	Molecular orbitals	Molecular orbital
18872	MentalEvents	Mental event
18873	Mental Event	Mental event
18874	Mental events	Mental event
18876	M.I.T.	Massachusetts Institute of Technology
18877	Market form	Market structure
18882	Matrices	Matrix
18883	MonopolyGame	Monopoly game
18897	Martial Arts Film	Martial arts film
18903	Marine Sciences	Oceanography
18905	Armed forces	Military
18912	Lower case	Letter case
18913	Mojo Jojo	List of The Powerpuff Girls secondary characters
18914	Mathematical expression	Expression (mathematics)
18919	Mannerism/Art	Mannerism
18927	Metaphysics/Introduction	Metaphysics
18931	Metaphysical objectivism	Philosophical realism
18936	Mr Driller	Mr. Driller
18944	Methodological naturalism	Naturalism (philosophy)
18953	Meter	Metre
18963	Miscellaneous poker	List of poker variants
18978	Mexican food	Mexican cuisine
18988	Myocardial infarct	Myocardial infarction
19014	Musical Genres/Hip	Rapping
19015	Musical Genres/Rap	Hip hop music
19016	Musical Genres/Hip Hop	Rapping
19025	Monopoly/game	Monopoly (game)
19034	MIT license	MIT License
19057	Muenchen	Munich
19059	Martial arts Film	Martial arts film
19061	MIT	Massachusetts Institute of Technology
19062	Mjolby	Mjölby Municipality
19105	Military of Malawi	Malawian Defence Force
19108	Malaysia/History	History of Malaysia
19125	Military of the Maldives	Maldives National Defence Force
19145	Military of Malta	Armed Forces of Malta
19151	Politics of the Marshall Islands	Government of the Marshall Islands
19155	Military of the Marshall Islands	Compact of Free Association
19170	Martinique/History	Martinique
19177	Martinique/Military	Martinique
19212	History of Mayotte	Mayotte
19218	Transportation in Mayotte	Mayotte
19219	Military of Mayotte	Mayotte
19220	Mayotte/Transnational issues	Mayotte
19232	Micronesia/History	History of the Federated States of Micronesia
19233	Micronesia/Geography	Geography of the Federated States of Micronesia
19234	Micronesia/People	Demographics of the Federated States of Micronesia
19236	Micronesia/Economy	Economy of the Federated States of Micronesia
19239	Micronesia/Military	Federated States of Micronesia
19251	Midway Islands/History	Midway Atoll
19252	Geography of the Midway Islands	Midway Atoll
19253	Midway Islands/People	Midway Atoll
19254	Midway Islands/Government	Midway Atoll
19255	Midway Islands/Economy	Midway Atoll
19256	Midway Islands/Transportation	Midway Atoll
19257	Midway Islands/Communications	Midway Atoll
19258	Midway Islands/Military	Midway Atoll
19263	Geography of Monaco	Monaco
19270	Monaco/Transnational issues	Foreign relations of Monaco
19282	History of Montserrat	Montserrat
19289	Military of Montserrat	Montserrat
